2023-06-19 11:48:15 error: uncaughtException: ⨯ Unable to compile TypeScript:
[96msrc/routes/post.route.ts[0m:[93m19[0m:[93m50[0m - [91merror[0m[90m TS1135: [0mArgument expression expected.

[7m19[0m     this.router.get(`${this.path}/category/:id`, , this.postController.getAlbumByCategory);
[7m  [0m [91m                                                 ~[0m

TSError: ⨯ Unable to compile TypeScript:
[96msrc/routes/post.route.ts[0m:[93m19[0m:[93m50[0m - [91merror[0m[90m TS1135: [0mArgument expression expected.

[7m19[0m     this.router.get(`${this.path}/category/:id`, , this.postController.getAlbumByCategory);
[7m  [0m [91m                                                 ~[0m

    at createTSError (C:\Users\Devops3\Documents\Projects\feetflight\feetflight\node_modules\ts-node\src\index.ts:859:12)
    at reportTSError (C:\Users\Devops3\Documents\Projects\feetflight\feetflight\node_modules\ts-node\src\index.ts:863:19)
    at C:\Users\Devops3\Documents\Projects\feetflight\feetflight\node_modules\ts-node\src\index.ts:1379:34
    at Object.compile (C:\Users\Devops3\Documents\Projects\feetflight\feetflight\node_modules\ts-node\src\index.ts:1458:13)
    at Module.m._compile (C:\Users\Devops3\Documents\Projects\feetflight\feetflight\node_modules\ts-node\src\index.ts:1617:30)
    at Module._extensions..js (internal/modules/cjs/loader.js:1114:10)
    at Object.require.extensions.<computed> [as .ts] (C:\Users\Devops3\Documents\Projects\feetflight\feetflight\node_modules\ts-node\src\index.ts:1621:12)
    at Module.load (internal/modules/cjs/loader.js:950:32)
    at Function.Module._load (internal/modules/cjs/loader.js:790:12)
    at Module.require (internal/modules/cjs/loader.js:974:19)
2023-06-19 11:50:04 error: [GET] /albums/popular >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 11:50:04 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 11:55:53 error: [GET] /albums/popular >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 11:55:53 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 11:57:15 error: [GET] /albums/popular >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 11:57:15 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 11:57:16 error: [GET] /albums/popular >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 11:57:16 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 11:57:32 error: [GET] /albums/popular >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 11:57:32 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 11:57:35 error: [GET] /albums/popular >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 11:57:35 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 11:57:45 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 11:57:45 error: [GET] /albums/popular >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 11:57:47 error: [GET] /albums/popular >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 11:57:47 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 11:57:59 error: [GET] /albums/popular >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 11:57:59 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
