2023-12-11 12:16:32 error: [GET] /users/e1d640e916c8628de70bf8ec0bd97461577cc85a >> StatusCode:: 401, Message:: Wrong authentication token
2023-12-11 13:43:12 error: [GET] /users/62cc6c536ffc0d571c6ac50c04fcccf2baabf068 >> StatusCode:: 401, Message:: Wrong authentication token
2023-12-11 13:44:30 error: [GET] /users/62cc6c536ffc0d571c6ac50c04fcccf2baabf068 >> StatusCode:: 401, Message:: Wrong authentication token
2023-12-11 13:45:41 error: [GET] /users/62cc6c536ffc0d571c6ac50c04fcccf2baabf068 >> StatusCode:: 401, Message:: Wrong authentication token
2023-12-11 13:55:27 error: [GET] /users/62cc6c536ffc0d571c6ac50c04fcccf2baabf068 >> StatusCode:: 401, Message:: Wrong authentication token
2023-12-11 14:46:16 error: [GET] /users/e1d640e916c8628de70bf8ec0bd97461577cc85a >> StatusCode:: 401, Message:: Wrong authentication token
2023-12-11 14:56:59 error: [GET] /users/e1d640e916c8628de70bf8ec0bd97461577cc85a >> StatusCode:: 401, Message:: Wrong authentication token
2023-12-11 15:07:46 error: [GET] /users/e1d640e916c8628de70bf8ec0bd97461577cc85a >> StatusCode:: 401, Message:: Wrong authentication token
2023-12-11 15:09:24 error: [GET] /users/e1d640e916c8628de70bf8ec0bd97461577cc85a >> StatusCode:: 401, Message:: Wrong authentication token
2023-12-11 15:17:54 error: [GET] /users/e1d640e916c8628de70bf8ec0bd97461577cc85a >> StatusCode:: 401, Message:: Wrong authentication token
2023-12-11 18:39:23 error: [GET] /users/e1d640e916c8628de70bf8ec0bd97461577cc85a >> StatusCode:: 401, Message:: Wrong authentication token
2023-12-11 19:17:01 error: [GET] /users/e1d640e916c8628de70bf8ec0bd97461577cc85a >> StatusCode:: 401, Message:: Wrong authentication token
2023-12-11 21:09:11 error: [GET] /wallet/e1d640e916c8628de70bf8ec0bd97461577cc85a >> StatusCode:: 401, Message:: Wrong authentication token
2023-12-11 21:11:28 error: [GET] /wallet/e1d640e916c8628de70bf8ec0bd97461577cc85a >> StatusCode:: 401, Message:: Wrong authentication token
2023-12-11 21:14:23 error: [GET] /wallet/e1d640e916c8628de70bf8ec0bd97461577cc85a >> StatusCode:: 401, Message:: Wrong authentication token
2023-12-11 21:15:30 error: [GET] /wallet/e1d640e916c8628de70bf8ec0bd97461577cc85a >> StatusCode:: 401, Message:: Wrong authentication token
2023-12-11 21:19:39 error: [GET] /wallet/e1d640e916c8628de70bf8ec0bd97461577cc85a >> StatusCode:: 401, Message:: Wrong authentication token
2023-12-11 21:20:50 error: [GET] /wallet/e1d640e916c8628de70bf8ec0bd97461577cc85a >> StatusCode:: 401, Message:: Wrong authentication token
2023-12-11 21:23:24 error: [GET] /wallet/e1d640e916c8628de70bf8ec0bd97461577cc85a >> StatusCode:: 401, Message:: Wrong authentication token
